taxon,date
hDenV1_Colombia_SAN-UIS-00030_2008_EPI_ISL_17572869_2008,2008.5000
hDenV1_Colombia_SAN-UIS-00029_2008_EPI_ISL_17572887_2008,2008.5000
hDenV1_Colombia_SAN-UIS-00031_2004_EPI_ISL_17572870_2004,2004.5000
hDenV1_Colombia_NSA-UIS-00020_2006_EPI_ISL_17572906_2006,2006.5000
hDenV1_Colombia_SAN-UIS-00021_2007_EPI_ISL_17572902_2007,2007.5000
hDenV1_Colombia_SAN-UIS-0000011_2009_EPI_ISL_17434733_2009,2009.5000
hDenV1_Colombia_SAN-UIS-00022_2008_EPI_ISL_17572900_2008,2008.5000
hDenV1_Colombia_SAN-UIS-00018_2008_EPI_ISL_17572889_2008,2008.5000
hDenV1_Colombia_SAN-UIS-0000043_2009_EPI_ISL_17434695_2009,2009.5000
hDenV1_Colombia_SAN-UIS-0000040_2009_EPI_ISL_17434687_2009,2009.5000
hDenV1_Colombia_SAN-UIS-0000050_2009_EPI_ISL_17434734_2009,2009.5000
hDenV1_Colombia_SAN-UIS-0000020_2010_EPI_ISL_17434731_2010,2010.5000
hDenV1_Colombia_SAN-UIS-00017_2007_EPI_ISL_17572885_2007,2007.5000
hDenV1_Colombia_SAN-UIS-0000046_2009_EPI_ISL_17434704_2009,2009.5000
hDenV1_Colombia_SAN-UIS-0000009_2010_EPI_ISL_17434720_2010,2010.5000
hDenV1_Colombia_NSA-UIDS-557_2009_EPI_ISL_715736_2009-09,2009.7078
hDenV1_Colombia_SAN-UIS-00019_2008_EPI_ISL_17572898_2008,2008.5000
hDenV1_Colombia_SAN-UIS-0000052_2010_EPI_ISL_17434700_2010,2010.5000
hDenV1_Colombia_SAN-UIS-0000029_2010_EPI_ISL_17434710_2010,2010.5000
hDenV1_Colombia_SAN-BROAD-0000046_2007_EPI_ISL_17436891_2007,2007.5000
hDenV1_Colombia_SAN-BROAD-0000029_2007_EPI_ISL_17436899_2007,2007.5000
hDenV1_Colombia_un-Yale-DH141_2004_EPI_ISL_18081130_2004-01-01,2004.0000
hDenV1_Colombia_SAN-Yale-DH141-P2_2004_EPI_ISL_20165629_2004,2004.5000
hDenV1_Colombia_un-BROAD-0000007_2005_EPI_ISL_17436834_2005,2005.5000
hDenV1_Colombia_SAN-BROAD-0000053_2007_EPI_ISL_17436880_2007,2007.5000
hDenV1_Colombia_NSA-BROAD-0000019_2006_EPI_ISL_17436846_2006,2006.5000
hDenV1_Colombia_NSA-BROAD-0000020_2006_EPI_ISL_17436847_2006,2006.5000
hDenV1_Colombia_NSA-BROAD-0000025_2006_EPI_ISL_17436895_2006,2006.5000
hDenV1_Colombia_SAN-BROAD-0000036_2007_EPI_ISL_17436906_2007,2007.5000
hDenV1_Colombia_un-CDC-002_2007_EPI_ISL_17567713_2007,2007.5000
hDenV1_Colombia_SAN-UIS-00036_2007_EPI_ISL_17572866_2007,2007.5000
hDenV1_Colombia_NSA-UIS-00038_2006_EPI_ISL_17572883_2006,2006.5000
hDenV1_Colombia_NSA-UIS-00040_2006_EPI_ISL_17572884_2006,2006.5000
hDenV1_Colombia_SAN-UIS-00035_2008_EPI_ISL_17572888_2008,2008.5000
hDenV1_Colombia_NSA-UIS-00041_2006_EPI_ISL_17572903_2006,2006.5000
hDenV1_Colombia_NSA-UIS-00042_2006_EPI_ISL_17572899_2006,2006.5000
hDenV1_Colombia_NSA-UIS-00037_2006_EPI_ISL_17572877_2006,2006.5000
hDenV1_Colombia_NSA-UIS-00039_2006_EPI_ISL_17572882_2006,2006.5000
hDenV1_Colombia_NSA-UIS-00034_2006_EPI_ISL_17572872_2006,2006.5000
hDenV1_Colombia_SAN-UIS-00033_2008_EPI_ISL_17572873_2008,2008.5000
hDenV1_Colombia_SAN-UIS-00032_2007_EPI_ISL_17572907_2007,2007.5000
hDenV1_Colombia_SAN-UR-LV121086_2010_EPI_ISL_715225_2010-03,2010.2078
hDenV1_Colombia_SAN-UR-LV122007_2009_EPI_ISL_715226_2009-08,2009.6244
hDenV1_Colombia_NSA-UIS-00045_2006_EPI_ISL_17572862_2006,2006.5000
hDenV1_Colombia_NSA-UIS-00046_2006_EPI_ISL_17572871_2006,2006.5000
hDenV1_Colombia_NSA-UIS-00043_2006_EPI_ISL_17572901_2006,2006.5000
hDenV1_Colombia_NSA-UIS-00044_2006_EPI_ISL_17572865_2006,2006.5000
hDenV1_Colombia_NSA-BROAD-0000023_2006_EPI_ISL_17436903_2006,2006.5000
hDenV1_Colombia_SAN-BROAD-0000058_2001_EPI_ISL_17436885_2001,2001.5000
hDenV1_Colombia_SAN-UIS-00051_2002_EPI_ISL_17572881_2002,2002.5000
hDenV1_Colombia_SAN-UIS-00050_2001_EPI_ISL_17572894_2001,2001.5000
hDenV1_Colombia_SAN-UIS-0000057_2014_EPI_ISL_17434713_2014,2014.5000
hDenV1_Colombia_un-UDS-Ov07582_2013_EPI_ISL_771895_2013-09-08,2013.6849
hDenV1_Colombia_un-OUCRU-0000061_2012_EPI_ISL_17439443_2012,2012.5000
hDenV1_Colombia_SAN-UIS-0000028_2013_EPI_ISL_17434709_2013,2013.5000
hDenV1_Colombia_un-Yale-DN02733_2024_EPI_ISL_19682287_2024-04-11,2024.2767
hDenV1_Colombia_un-OUCRU-1_2013_EPI_ISL_17410864_2013,2013.5000
hDenV1_Colombia_un-OUCRU-135_2013_EPI_ISL_17610607_2013,2013.5000
hDenV1_Colombia_un-OUCRU-101216_2013_EPI_ISL_17410879_2013,2013.5000
hDenV1_Colombia_un-OUCRU-136_2013_EPI_ISL_17610608_2013,2013.5000
hDenV1_Colombia_un-OUCRU-10128_2013_EPI_ISL_17410871_2013,2013.5000
hDenV1_Colombia_un-OUCRU-512_2013_EPI_ISL_17610673_2013,2013.5000
hDenV1_Colombia_un-OUCRU-509_2013_EPI_ISL_17610670_2013,2013.5000
hDenV1_Colombia_un-OUCRU-101236_2013_EPI_ISL_17410900_2013,2013.5000
